,lon,lat,name,number
5,116.410285,39.925557,东城 - 东单四合院,3
6,116.437104,39.890148,东城 - FREE自由季,25
7,116.436151,39.935898,东城 - 东环公寓,2
8,116.41649,39.960881,东城 - 化工大院,14
9,116.412749,39.942675,东城 - 交道口北二条,6
10,116.404452,39.900776,东城 - 前门东大街,41
11,116.431656,39.922110,东城 - 北京INN,25
12,116.438131,39.93956,东城 - 十字坡西里,2
13,116.437597,39.886266,东城 - 光明楼小区,14
14,116.425422,39.883969,东城 - 体育馆路,23
15,116.423075,39.963729,东城 - 和平街十区,4
16,116.410991,39.933102,东城 - 华人一品阁,1
17,116.415543,39.905297,东城 - 台基厂小区,2
18,116.395015,39.945906,东城 - 国旺胡同,1
19,116.408698,39.863057,东城 - 安乐林小区,1
20,116.403869,39.86143,东城 - 宝华里,14
21,116.422408,39.940229,东城 - 大菊胡同,5
22,116.424793,39.938193,东城 - 小菊胡同,7
23,116.418484,39.945401,东城 - 戏楼胡同,2
24,116.427150,39.926489,东城 - 朝内北小街,4
27,116.428135,39.942008,东城 - Naga上院,2
28,116.43792,39.948074,东城 - 万国城,6
29,116.406963,39.953746,东城 - 上龙嘉园,1
30,116.404827,39.915257,东城 - 东华门大街,1
31,116.438224,39.888702,东城 - solo一期绿景苑,6
32,116.429038,39.900221,东城 - 东后河沿,5
33,116.421654,39.932972,东城 - 东四九条,1
34,116.421394,39.931524,东城 - 东四七条,1
35,116.417159,39.932493,东城 - 东四北大街,3
36,116.423334,39.932301,东城 - 东四八条,3
37,116.437136,39.938395,东城 - 东中街小区,19
38,116.422922,39.928056,东城 - 东四五条,3
39,116.421207,39.930154,东城 - 东四六条,3
40,116.419661,39.933254,东城 - 东四十条小区,2
42,116.432396,39.950064,东城 - 东土城路9号院,18
43,116.408963,39.922318,东城 - 东厂胡同,27
44,116.43792,39.948074,东城 - 万国城Moma,7
45,116.422292,39.927459,东城 - 东四四条,5
46,116.424134,39.882934,东城 - 东四块玉北街小区,6
47,116.431085,39.958201,东城 - 东土城7号院,2
48,116.406724,39.957635,东城 - 三秀涵雅居,21
49,116.432396,39.950064,东城 - 东土城路1号,8
51,116.442635,39.936740,东城 - 东外公馆,23
52,116.413985,39.924268,东城 - 东四西大街,2
53,116.445712,39.898819,东城 - 东环居苑,19
