,lon,lat,name,number,location
0,116.41028500000002,39.925557,东城 - 东单四合院,3,东城
1,116.437104,39.890148,东城 - FREE自由季,25,东城
2,116.436151,39.935898,东城 - 东环公寓,2,东城
3,116.41649,39.960881,东城 - 化工大院,14,东城
4,116.412749,39.942675,东城 - 交道口北二条,6,东城
5,116.404452,39.900776,东城 - 前门东大街,41,东城
6,116.431656,39.92211,东城 - 北京INN,25,东城
7,116.438131,39.93956,东城 - 十字坡西里,2,东城
8,116.437597,39.886266,东城 - 光明楼小区,14,东城
9,116.425422,39.883969,东城 - 体育馆路,23,东城
10,116.423075,39.963729,东城 - 和平街十区,4,东城
11,116.410991,39.93310200000001,东城 - 华人一品阁,1,东城
12,116.415543,39.905297,东城 - 台基厂小区,2,东城
13,116.395015,39.945906,东城 - 国旺胡同,1,东城
14,116.408698,39.863057,东城 - 安乐林小区,1,东城
15,116.403869,39.86143,东城 - 宝华里,14,东城
16,116.422408,39.940229,东城 - 大菊胡同,5,东城
17,116.424793,39.938193,东城 - 小菊胡同,7,东城
18,116.418484,39.945401,东城 - 戏楼胡同,2,东城
19,116.42715,39.926489,东城 - 朝内北小街,4,东城
20,116.428135,39.942008,东城 - Naga上院,2,东城
21,116.43792,39.948074,东城 - 万国城,6,东城
22,116.406963,39.953746,东城 - 上龙嘉园,1,东城
23,116.404827,39.915257,东城 - 东华门大街,1,东城
24,116.438224,39.888702,东城 - solo一期绿景苑,6,东城
25,116.429038,39.900221,东城 - 东后河沿,5,东城
26,116.421654,39.932972,东城 - 东四九条,1,东城
27,116.421394,39.931524,东城 - 东四七条,1,东城
28,116.417159,39.932493,东城 - 东四北大街,3,东城
29,116.423334,39.932301,东城 - 东四八条,3,东城
30,116.437136,39.938395,东城 - 东中街小区,19,东城
31,116.422922,39.928056,东城 - 东四五条,3,东城
32,116.421207,39.930154,东城 - 东四六条,3,东城
33,116.419661,39.933254,东城 - 东四十条小区,2,东城
34,116.432396,39.95006400000001,东城 - 东土城路9号院,18,东城
35,116.408963,39.922318,东城 - 东厂胡同,27,东城
36,116.43792,39.948074,东城 - 万国城Moma,7,东城
37,116.422292,39.927459000000006,东城 - 东四四条,5,东城
38,116.424134,39.88293400000001,东城 - 东四块玉北街小区,6,东城
39,116.431085,39.958201,东城 - 东土城7号院,2,东城
40,116.406724,39.957635,东城 - 三秀涵雅居,21,东城
41,116.432396,39.95006400000001,东城 - 东土城路1号,8,东城
42,116.442635,39.93674,东城 - 东外公馆,23,东城
43,116.413985,39.924268,东城 - 东四西大街,2,东城
44,116.445712,39.898819,东城 - 东环居苑,19,东城
45,116.425595,39.936379,东城 - 东直门内南小街,1,东城
46,116.415952,39.909864,东城 - 东方豪庭公寓,14,东城
47,116.424977,39.877747,东城 - 东四块玉南街,17,东城
48,116.446106,39.940913,东城 - 东直门外大街30号,1,东城
49,116.406054,39.952434,东城 - 上龙西里,56,东城
50,116.434244,39.936161,东城 - 东直门南大街,33,东城
51,116.42474,39.94105,东城 - 东直门内大街,18,东城
52,116.430097,39.912149,东城 - 东总布胡同,10,东城
53,116.44529,39.943826,东城 - 东直门外小街10号院,4,东城
54,116.415952,39.909864,东城 - 东方豪庭,15,东城
55,116.436966,39.893158,东城 - 东方财富,35,东城
56,116.425604,39.945334,东城 - 东直门北小街小区,11,东城
57,116.427291,39.933143,东城 - 东四十条甲34号院,12,东城
58,116.436575,39.898989,东城 - 东花市北里东区,20,东城
59,116.405646,39.935649,东城 - 东棉花胡同,5,东城
