,name,lon,lat,number,location,mean_area,mean_prc
0,东城 - FREE自由季,116.437104,39.890147999999996,25,东城,54.32,92.94969796700123
1,东城 - Naga上院,116.42813500000001,39.942008,2,东城,456.5,164.20405522001727
2,东城 - solo一期绿景苑,116.438224,39.888702,6,东城,57.666666666666664,75.20854364805272
3,东城 - 万国城,116.43791999999999,39.948074,6,东城,137.0,142.3899145692177
4,东城 - 万国城Moma,116.43791999999999,39.948074,7,东城,136.28571428571428,137.99230250733382
5,东城 - 三秀涵雅居,116.406724,39.957634999999996,21,东城,85.80952380952381,90.44633527392148
6,东城 - 上龙嘉园,116.40696299999999,39.953746,1,东城,150.0,94.0
7,东城 - 上龙西里,116.406054,39.952434000000004,56,东城,72.57142857142857,97.44806255835667
8,东城 - 东中街小区,116.43713600000001,39.938395,19,东城,50.73684210526316,132.80701754385967
9,东城 - 东华门大街,116.404827,39.915257000000004,1,东城,100.0,130.0
10,东城 - 东单四合院,116.41028500000002,39.925557,3,东城,1083.3333333333333,167.40956893348198
11,东城 - 东厂胡同,116.40896299999999,39.922318,27,东城,47.55555555555556,128.31678486997632
12,东城 - 东后河沿,116.42903799999999,39.900221,5,东城,99.0,92.25135964300655
13,东城 - 东四七条,116.42139399999999,39.931523999999996,1,东城,30.0,100.0
14,东城 - 东四九条,116.421654,39.932972,1,东城,70.0,107.14285714285714
15,东城 - 东四五条,116.422922,39.928056,3,东城,40.0,125.0
16,东城 - 东四八条,116.42333400000001,39.932301,3,东城,30.0,95.55555555555554
17,东城 - 东四六条,116.42120700000001,39.930153999999995,3,东城,143.33333333333334,183.33333333333334
18,东城 - 东四北大街,116.41715900000001,39.932493,3,东城,31.666666666666668,113.33333333333333
19,东城 - 东四十四条,116.42141699999999,39.93721,5,东城,116.0,112.3076923076923
20,东城 - 东四十条军区总医院家属院,116.426809,39.931034000000004,2,东城,25.0,112.0
21,东城 - 东四十条小区,116.419661,39.933254,2,东城,55.0,95.45454545454545
22,东城 - 东四十条甲34号院,116.427291,39.933143,12,东城,58.833333333333336,93.12920317230662
23,东城 - 东四四条,116.422292,39.927459000000006,5,东城,93.0,146.87997027127463
24,东城 - 东四块玉北街小区,116.42413400000001,39.88293400000001,6,东城,60.0,96.09523809523809
25,东城 - 东四块玉南街,116.424977,39.877747,17,东城,74.82352941176471,86.78045064179518
26,东城 - 东四西大街,116.41398500000001,39.924268,2,东城,65.0,90.58461538461539
27,东城 - 东土城7号院,116.43108500000001,39.958201,2,东城,48.0,99.14529914529913
28,东城 - 东土城路1号,116.432396,39.95006400000001,8,东城,44.25,111.94907407407408
29,东城 - 东土城路9号院,116.432396,39.95006400000001,18,东城,71.0,86.48130005672795
30,东城 - 东堂子胡同,116.42438100000001,39.914241,10,东城,51.6,102.66433566433568
31,东城 - 东外公馆,116.44263500000001,39.93674,23,东城,104.08695652173913,90.15297575399876
32,东城 - 东总布胡同,116.430097,39.912149,10,东城,45.0,114.7651515151515
33,东城 - 东方豪庭,116.415952,39.909864,15,东城,201.26666666666668,136.17424419328725
34,东城 - 东方豪庭公寓,116.415952,39.909864,14,东城,219.42857142857142,132.570718160682
35,东城 - 东方财富,116.436966,39.893158,35,东城,90.28571428571429,96.61302730666891
36,东城 - 东方银座,116.435432,39.940218,52,东城,125.48076923076923,129.54218450083428
37,东城 - 东棉花胡同,116.40564599999999,39.935649,5,东城,53.6,132.17391304347825
38,东城 - 东湖别墅公寓,116.441578,39.942119,32,东城,395.3125,273.23042333572226
39,东城 - 东环公寓,116.436151,39.935898,2,东城,688.0,181.6860465116279
40,东城 - 东环居苑,116.44571200000001,39.898819,19,东城,58.05263157894737,102.37335763651554
41,东城 - 东皇城根北街,116.406549,39.928875,1,东城,1300.0,223.07692307692307
42,东城 - 东直门内北小街,116.425604,39.945334,17,东城,87.3529411764706,109.11248710010322
43,东城 - 东直门内南小街,116.425595,39.936378999999995,1,东城,40.0,95.0
44,东城 - 东直门内大街,116.42473999999999,39.94105,18,东城,95.22222222222223,44.78470603470602
45,东城 - 东直门北大街,116.433444,39.945901,10,东城,116.1,154.85144312393888
46,东城 - 东直门北小街8号院,116.426272,39.947741,1,东城,130.0,76.92307692307692
47,东城 - 东直门北小街小区,116.425604,39.945334,11,东城,32.27272727272727,111.51515151515152
48,东城 - 东直门南大街,116.43424399999999,39.936161,33,东城,70.84848484848484,92.50461977485638
49,东城 - 东直门外大街,116.43894099999999,39.941208,14,东城,66.85714285714286,117.9154930886066
50,东城 - 东直门外大街30号,116.446106,39.940913,1,东城,55.0,87.27272727272727
51,东城 - 东直门外大街32号,116.435501,39.94104,7,东城,57.857142857142854,104.63394383394383
52,东城 - 东直门外大街40号楼,116.438318,39.940638,8,东城,16.625,192.95833333333334
53,东城 - 东直门外小街10号院,116.44528999999999,39.943826,4,东城,55.0,94.54545454545455
54,东城 - 东罗圈,116.42477099999999,39.917463,3,东城,41.0,165.85365853658536
55,东城 - 东罗圈胡同,116.42477099999999,39.917463,6,东城,55.333333333333336,132.21325011138498
56,东城 - 东花市北里,116.43051499999999,39.897898,8,东城,99.25,90.15151515151514
57,东城 - 东花市北里东区,116.436575,39.898989,20,东城,73.6,86.90281771570282
58,东城 - 东花市北里中区,116.43353300000001,39.898919,90,东城,79.41111111111111,93.24309842320547
59,东城 - 东花市北里西区,116.42941100000002,39.898736,8,东城,63.0,93.35357624831308
60,东城 - 东营房八条,116.43988600000002,39.930756,9,东城,61.666666666666664,100.70370370370371
61,东城 - 中剪子巷,116.411942,39.9336,6,东城,33.333333333333336,122.0
62,东城 - 中海紫御公馆,116.390496,39.870139,321,东城,97.88161993769471,122.25243862408311
63,东城 - 中绦胡同甲2号院,116.39798200000001,39.947857,10,东城,70.0,86.28571428571426
64,东城 - 丽水湾畔,116.44185800000001,39.894757,3,东城,99.0,77.77777777777777
65,东城 - 丽水湾畔家园,116.44185800000001,39.894757,7,东城,105.14285714285714,88.72397443826016
