,name,area,house_type,floor,price,url,average_price
0,朝阳 - 世安家园,78.0,2室1厅,3/6,5000,http://m.fang.com/zf/bj/JHAGT_388415658_68493257935d2b7fad6149888b785b0d_164866623.html,64.0
1,海淀 - 金沟河小区,75.0,2室1厅,5/6,4500,http://m.fang.com/zf/bj/JHAGT_389798285_6b74b68a558386b815886eea1e9884ee_163495188.html,60.0
2,顺义 - 后街花园,70.0,1室1厅,4/6,4200,http://m.fang.com/zf/bj/JHAGT_389290334_58f58aedfc27f6ddc7657abaf232dcee_163401595.html,60.0
3,海淀 - 永泰园,52.0,1室1厅,6/6,3500,http://m.fang.com/zf/bj/JHAGT_390705204_a54f7dc38f075eef28efaafd562aa3b7_165000580.html,67.0
4,通州 - 瑞都国际,66.0,1室1厅,27/28,4500,http://m.fang.com/zf/bj/JHAGT_390728656_d5c38b5eb8320d49571061c5eebc9ca4_165750984.html,68.0
5,朝阳 - 花家地西里三区,75.0,2室1厅,1/6,4400,http://m.fang.com/zf/bj/JHAGT_388414098_0d4f8f6c12e1fb442dfdf4c0ff74e329_164866623.html,58.0
6,丰台 - 韩庄子西里,70.0,1室1厅,3/22,4800,http://m.fang.com/zf/bj/JHAGT_390606584_dbf5d934079c8ea6e05a6ee0543c45de_165112321.html,68.0
7,顺义 - 双裕小区,75.0,2室1厅,5/6,4500,http://m.fang.com/zf/bj/JHAGT_390221036_e7559b58ee8db7cd2809e1a801d873ca_163401595.html,60.0
8,丰台 - 育芳园,60.0,2室1厅,4/6,4000,http://m.fang.com/zf/bj/JHAGT_389483681_84ebf1f976980f71859c3a281edac2b3_164146054.html,66.0
9,通州 - 新光大中心公寓,60.0,1室1厅,20/41,3300,http://m.fang.com/zf/bj/JHAGT_390466143_aa7f5b852801c38c6724915e16e74f9d_162575913.html,55.0
10,朝阳 - 花家地西里一区,68.0,2室1厅,1/6,4500,http://m.fang.com/zf/bj/JHAGT_388414025_9f41672eea5b9f30d1cfb11c244df687_164866623.html,66.0
11,丰台 - 三环新城,75.0,1室2厅,15/22,4500,http://m.fang.com/zf/bj/JHAGT_389483634_dd21978b22944f21e0cc24da5d96f40a_164146054.html,60.0
12,西城 - 广外车站西街15号院,50.0,1室1厅,6/6,3300,http://m.fang.com/zf/bj/JHAGT_390672309_f66ccb96924238cfcf603f0ae4199c4e_165268436.html,66.0
13,丰台 - 金都苑,60.0,1室1厅,18/28,3500,http://m.fang.com/zf/bj/JHAGT_390672406_fc462de75418bacc2e5d81c627138873_165268436.html,58.0
